epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,70.8415,1.65352,0.9948,0.01145,0.50075,0.52698,0.50954,0.23168,1.86864,2.4336,0.01621,0.00162037,0.00162037,0.00162037
58,71.9769,1.61771,1.10369,0.01358,0.37171,0.55476,0.46848,0.20408,1.8496,3.08728,0.01717,0.00161954,0.00161954,0.00161954
59,73.1095,1.53652,1.08455,0.01406,0.31855,0.59603,0.45764,0.18734,1.92085,3.00455,0.01906,0.00161871,0.00161871,0.00161871
60,74.2413,1.5366,1.00128,0.01148,0.38979,0.35714,0.41733,0.19023,2.00341,2.80354,0.02049,0.00161787,0.00161787,0.00161787
61,75.361,1.58054,0.82082,0.01174,0.47537,0.44206,0.47268,0.21434,1.92368,2.18456,0.01919,0.00161704,0.00161704,0.00161704
62,76.5147,1.49736,0.89637,0.01043,0.4674,0.42698,0.39546,0.12781,2.37097,2.13769,0.02205,0.00161621,0.00161621,0.00161621
63,77.6339,1.72416,0.82215,0.0106,0.53608,0.49762,0.43519,0.15297,2.33344,1.87485,0.02392,0.00161537,0.00161537,0.00161537
64,78.7748,1.58766,0.82504,0.01231,0.54518,0.52519,0.53411,0.24992,2.07359,1.48431,0.02129,0.00161454,0.00161454,0.00161454
65,79.8997,1.55166,0.85159,0.01013,0.72385,0.48333,0.52935,0.26175,1.9757,1.48686,0.02012,0.00161371,0.00161371,0.00161371
66,81.0363,1.54478,0.98796,0.01273,0.42265,0.63571,0.46859,0.17374,2.31574,1.69911,0.0227,0.00161288,0.00161288,0.00161288
67,82.1476,1.65397,0.90166,0.01208,0.48287,0.56667,0.48675,0.17159,2.23674,1.65749,0.02183,0.00161204,0.00161204,0.00161204
68,83.2779,1.60509,0.75903,0.01287,0.47846,0.66429,0.54244,0.23368,2.01376,1.52304,0.01902,0.00161121,0.00161121,0.00161121
69,84.3909,1.58738,0.90691,0.0109,0.67096,0.53526,0.52932,0.23204,2.09322,1.51757,0.02021,0.00161038,0.00161038,0.00161038
70,85.5121,1.5999,0.84466,0.01253,0.65784,0.55572,0.54506,0.22136,2.15668,1.52517,0.02087,0.00160955,0.00160955,0.00160955
71,86.6311,1.55819,0.80556,0.01107,0.50961,0.64802,0.57519,0.25677,1.91119,1.4036,0.01874,0.00160871,0.00160871,0.00160871
72,87.779,1.49102,0.76406,0.01237,0.48839,0.62381,0.57893,0.26587,1.9722,1.43149,0.01887,0.00160788,0.00160788,0.00160788
73,88.932,1.55612,0.7632,0.01049,0.53115,0.61758,0.53956,0.26342,1.9492,1.36361,0.01908,0.00160705,0.00160705,0.00160705
74,90.0707,1.48859,0.74092,0.0104,0.70146,0.59966,0.6043,0.26491,1.95639,1.34896,0.01859,0.00160622,0.00160622,0.00160622
75,91.2103,1.47851,0.74783,0.0124,0.5714,0.69286,0.59173,0.27591,1.89981,1.43956,0.01846,0.00160538,0.00160538,0.00160538
76,92.3467,1.56952,0.76514,0.01031,0.58146,0.65794,0.57289,0.28957,1.83106,1.45572,0.01914,0.00160455,0.00160455,0.00160455
77,93.4818,1.61916,0.76222,0.01041,0.52018,0.6373,0.57102,0.29581,1.97827,1.40531,0.02035,0.00160372,0.00160372,0.00160372
78,94.6564,1.51778,0.82058,0.01051,0.64714,0.65238,0.62219,0.29768,2.03052,1.22248,0.02218,0.00160288,0.00160288,0.00160288
79,95.8177,1.50975,0.76185,0.01191,0.56832,0.74921,0.64817,0.33048,1.93464,1.26741,0.01926,0.00160205,0.00160205,0.00160205
80,96.964,1.47879,0.66425,0.00878,0.64663,0.73492,0.64516,0.34328,1.94694,1.20193,0.01777,0.00160122,0.00160122,0.00160122
81,98.1528,1.45854,0.69125,0.00978,0.64271,0.67937,0.64064,0.33283,1.8938,1.24313,0.01799,0.00160039,0.00160039,0.00160039
82,99.3228,1.68337,0.73616,0.01121,0.71133,0.65159,0.66189,0.34181,1.87195,1.19633,0.01764,0.00159955,0.00159955,0.00159955
83,100.469,1.56789,0.69904,0.01364,0.72048,0.62095,0.63846,0.32934,1.8127,1.20676,0.01687,0.00159872,0.00159872,0.00159872
84,101.607,1.44849,0.7346,0.0116,0.63406,0.60873,0.61622,0.32269,1.83829,1.25378,0.0173,0.00159789,0.00159789,0.00159789
85,102.719,1.48334,0.6826,0.00812,0.70036,0.6373,0.65292,0.34224,1.81221,1.16405,0.0169,0.00159706,0.00159706,0.00159706
86,103.84,1.4467,0.75729,0.00845,0.71239,0.66453,0.67484,0.36299,1.77825,1.18693,0.01717,0.00159622,0.00159622,0.00159622
87,104.999,1.4243,0.69381,0.01003,0.63604,0.66006,0.64224,0.33192,1.87006,1.19801,0.02032,0.00159539,0.00159539,0.00159539
88,106.146,1.34376,0.69384,0.00909,0.62158,0.66587,0.64797,0.30347,2.02669,1.10856,0.02178,0.00159456,0.00159456,0.00159456
89,107.316,1.5171,0.71573,0.01222,0.59552,0.67857,0.60931,0.26011,2.17525,1.20405,0.02221,0.00159373,0.00159373,0.00159373
90,108.469,1.5383,0.6663,0.00991,0.7387,0.58251,0.61622,0.30274,1.95626,1.28646,0.02094,0.00159289,0.00159289,0.00159289
91,109.628,1.44214,0.70554,0.01036,0.6396,0.60141,0.61669,0.30405,1.92159,1.28792,0.02097,0.00159206,0.00159206,0.00159206
92,110.807,1.42772,0.64103,0.00974,0.54132,0.6373,0.57405,0.26984,1.92122,1.3589,0.02161,0.00159123,0.00159123,0.00159123
93,111.94,1.31816,0.63531,0.00806,0.53829,0.72143,0.59718,0.27495,1.96716,1.30062,0.02228,0.00159039,0.00159039,0.00159039
94,113.073,1.35175,0.68362,0.00837,0.6371,0.65159,0.61577,0.28415,1.93703,1.19246,0.02151,0.00158956,0.00158956,0.00158956
95,114.218,1.36432,0.58449,0.00896,0.63677,0.6381,0.60323,0.28997,1.89045,1.14189,0.01913,0.00158873,0.00158873,0.00158873
96,115.367,1.42497,0.6208,0.00951,0.56325,0.73323,0.62148,0.2989,1.864,1.11701,0.01816,0.0015879,0.0015879,0.0015879
97,116.525,1.33393,0.65489,0.0094,0.63434,0.59603,0.59748,0.29543,1.8326,1.21488,0.01754,0.00158706,0.00158706,0.00158706
98,117.674,1.37005,0.67071,0.01142,0.54799,0.6381,0.59142,0.28273,1.98486,1.1896,0.01991,0.00158623,0.00158623,0.00158623
99,118.854,1.442,0.59881,0.00883,0.61233,0.64685,0.62706,0.30248,2.01729,1.24723,0.02094,0.0015854,0.0015854,0.0015854
100,120.038,1.50434,0.67071,0.00911,0.52715,0.67937,0.56108,0.27276,1.97792,1.23593,0.02039,0.00158457,0.00158457,0.00158457
101,121.217,1.39131,0.74741,0.00889,0.65412,0.58254,0.60198,0.29619,1.96055,1.173,0.02063,0.00158373,0.00158373,0.00158373
102,122.366,1.34923,0.73038,0.01047,0.59881,0.58254,0.5939,0.28668,1.97379,1.24641,0.02067,0.0015829,0.0015829,0.0015829
103,123.523,1.34145,0.55401,0.01059,0.70656,0.58254,0.60673,0.27573,1.98149,1.31376,0.01961,0.00158207,0.00158207,0.00158207
104,124.663,1.37415,0.59398,0.00894,0.70296,0.58254,0.63017,0.29486,1.96396,1.293,0.01891,0.00158124,0.00158124,0.00158124
105,125.794,1.37596,0.60548,0.00841,0.61669,0.67937,0.59511,0.30634,1.94279,1.25459,0.02085,0.0015804,0.0015804,0.0015804
106,126.948,1.34117,0.5956,0.00819,0.8045,0.61962,0.6493,0.3271,1.98005,1.22515,0.01996,0.00157957,0.00157957,0.00157957
107,128.089,1.34786,0.55751,0.00876,0.64531,0.63249,0.63279,0.30587,1.96866,1.29177,0.01919,0.00157874,0.00157874,0.00157874
108,129.239,1.34391,0.6565,0.00995,0.65456,0.59437,0.63022,0.29113,1.95902,1.25317,0.01891,0.0015779,0.0015779,0.0015779
109,130.396,1.33736,0.61245,0.00849,0.57551,0.62302,0.54183,0.27214,1.90976,1.34407,0.01897,0.00157707,0.00157707,0.00157707
110,131.569,1.402,0.73065,0.01187,0.65681,0.63651,0.59217,0.27985,1.86337,1.30635,0.01907,0.00157624,0.00157624,0.00157624
111,132.716,1.32551,0.61307,0.00871,0.62132,0.65159,0.58621,0.26991,1.92165,1.27907,0.01975,0.00157541,0.00157541,0.00157541
112,133.871,1.35145,0.59438,0.00854,0.65139,0.65159,0.63443,0.31478,1.89152,1.23669,0.01971,0.00157457,0.00157457,0.00157457
113,135.004,1.25619,0.54676,0.00872,0.74777,0.69365,0.67336,0.31896,1.90706,1.27543,0.01921,0.00157374,0.00157374,0.00157374
